id,degree
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,2
16,2
17,2
18,4
19,2
20,3
21,2
22,3
23,4
24,3
25,2
26,3
27,3
28,2
29,2
30,3
31,4
32,2
33,2
34,3
35,3
36,2
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,2
45,3
46,3
47,2
48,4
49,4
50,2
51,2
52,2
53,2
54,3
55,4
56,1
57,4
58,4
59,3
60,2
61,2
62,3
63,2
64,2
65,2
66,3
67,4
68,3
69,4
70,4
71,2
72,4
73,4
74,4
75,3
76,2
77,2
78,4
79,2
80,2
81,2
82,4
83,4
84,2
85,2
86,2
87,4
88,4
89,2
90,2
91,2
92,2
93,4
94,3
95,2
96,3
97,4
98,2
99,2
100,4
101,2
102,3
103,4
104,2
105,2
106,2
107,3
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,3
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,3
124,3
125,2
126,2
127,3
128,2
129,4
130,2
131,4
132,4
133,3
134,3
135,2
136,2
137,3
138,3
139,3
140,4
141,3
142,4
143,3
144,3
145,3
146,2
147,2
148,3
149,2
150,2
151,2
152,2
153,2
154,4
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,4
164,3
165,2
166,2
167,2
168,2
169,4
170,3
171,2
172,2
173,2
174,3
175,2
176,2
177,2
178,4
179,3
180,4
181,2
182,3
183,4
184,2
185,3
186,4
187,4
188,2
189,2
190,2
191,3
192,2
193,4
194,4
195,2
196,3
197,4
198,2
199,3
200,2
201,2
202,4
203,3
204,3
205,2
206,3
207,2
208,2
209,2
210,3
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,3
220,4
221,3
222,4
223,3
224,2
225,3
226,3
227,3
228,2
229,4
230,4
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,3
242,2
243,2
244,2
245,3
246,2
247,2
248,2
249,2
250,3
251,4
252,2
253,3
254,4
255,4
256,2
257,4
258,3
259,3
260,2
261,2
262,2
263,2
264,3
265,3
266,2
267,3
268,2
269,2
270,2
271,2
272,2
273,3
274,3
275,2
276,2
277,2
278,3
279,4
280,2
281,2
282,2
283,4
284,2
285,2
286,2
287,3
288,2
289,2
290,2
291,2
292,3
293,4
294,2
295,2
296,3
297,3
298,3
299,2
300,3
301,2
302,3
303,2
304,3
305,3
306,3
307,2
308,3
309,2
310,2
311,2
312,4
313,2
314,4
315,2
316,3
317,4
318,4
319,3
320,3
321,3
322,2
323,3
324,4
325,4
326,2
327,3
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,4
337,4
338,4
339,2
340,3
341,2
342,2
343,2
344,2
345,3
346,4
347,2
348,2
349,2
350,2
351,2
352,4
353,2
354,2
355,2
356,4
357,2
358,3
359,2
360,3
361,3
362,2
363,2
364,2
365,2
366,4
367,3
368,3
369,3
370,2
371,4
372,2
373,3
374,4
375,4
376,3
377,4
378,3
379,4
380,2
381,3
382,2
383,4
384,2
385,3
386,4
387,2
388,3
389,3
390,2
391,2
392,3
393,2
394,2
395,3
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,3
406,4
407,2
408,3
409,3
410,3
411,3
412,2
413,2
414,2
415,4
416,2
417,3
418,3
419,3
420,3
421,3
422,2
423,3
424,2
425,3
426,3
427,4
428,4
429,3
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,4
441,3
442,2
443,2
444,2
445,4
446,4
447,3
448,4
449,2
450,4
451,2
452,2
453,3
454,2
455,4
456,2
457,2
458,2
459,2
460,2
461,4
462,3
463,2
464,3
465,2
466,3
467,3
468,2
469,2
470,2
471,5
472,2
473,2
474,4
475,2
476,2
477,2
478,2
479,3
480,3
481,3
482,3
483,2
484,3
485,2
486,4
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,4
497,4
498,2
499,3
500,2
501,3
502,3
503,2
504,3
505,2
506,2
507,3
508,2
509,3
510,3
511,4
512,2
513,3
514,2
515,2
516,4
517,2
518,2
519,2
520,2
521,3
522,2
523,3
524,2
525,3
526,2
527,2
528,2
529,3
530,4
531,4
532,3
533,4
534,2
535,3
536,2
537,2
538,2
539,2
540,4
541,1
542,4
543,4
544,2
545,4
546,2
